ManagementAreaId,1524,1908,1898,1909,1910,750,1906,1903,1902,1901,1907,1911,1905,1912,1894,1893,1892,1867,1917
Breed,Florida (Goat),Florida (Goat),Florida (Goat),Florida (Goat),Florida (Goat),Malagueña (Goat),Malagueña (Goat),Malagueña (Goat),Malagueña (Goat),Malagueña (Goat),Malagueña (Goat),Murciano-granadina (Goat),Murciano-granadina (Goat),Murciano-granadina (Goat),Payoya (Goat),Payoya (Goat),Payoya (Goat),Assaf (Sheep),Frisona (Cow)
DateDiffMean,2.52,1.86,2.54,2.95,3.09,2.11,1.87,2.17,2.23,2.34,3.5,2.18,2.14,2.39,3.43,7.77,7.73,1.88,2.06
DateDiffStd,1.16,1.6,3.52,1.34,1.09,0.61,1.53,0.95,1.77,1.84,1.65,0.84,0.57,0.89,4.5,3.42,2.77,0.91,0.54
