Farm,1524,1908,1898,1909,1910,750,1906,1903,1902,1901,1907,1911,1905,1912,1894,1893,1892,1867,1917
Bacteria, , , , , ,KO, , , , , , , , , , , , , 
ES, , , , , ,KO, , , , , ,KO,KO,KO, , , , ,KO
EQ, ,KO, ,KO,KO, ,KO,KO,KO,KO,KO,KO,KO,KO, , , ,KO,KO
Fat, , , , , , , , , , , ,KO,KO,KO, , , , ,KO
FreezingPoint, ,KO, ,KO,KO,KO,KO,KO,KO,KO,KO,KO,KO,KO, , , ,KO,KO
Protein, , , , , ,KO, , , , , ,KO,KO,KO, , , , ,KO
SomaticCellCount, , , , , , , , , , , , , , , , , , , 
Urea, , , , , ,KO, , , , , , , , , , , , , 
